season,match_id,player,player_id,team,position,period,minute,start_x,start_y,end_x,end_y,carry_distance_m,carry_duration_s,carry_speed_ms,under_pressure,progressive_carry,defender_proximity_m,n_opponents_in_frame,lines_broken_2d,line_break_2d,pitch_control_gained,downstream_xg_single_poss,downstream_xg_chain
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,0,61.3,18.8,57.2,20.9,4.2122,0.9906,4.2522,0,0,3.6607,10,0,0,-0.18056,0.0697,0.0697
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,0,111.2,66.2,110.3,75.1,8.1797,5.3661,1.5243,1,0,,,,,,0.0697,0.0697
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,1,91.4,62.9,97.2,62.7,5.3067,1.4756,3.5962,1,0,4.7173,9,0,0,0.1746,0.0697,0.0697
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,1,107.1,58.2,111.2,56.1,4.2122,0.491,8.5781,1,0,0.9369,10,0,0,0.01389,0.0697,0.0697
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,2,50.1,57.3,39.4,58.3,9.8267,1.934,5.0811,0,0,7.842,7,0,0,0.02381,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,3,77.9,65.3,85.4,65.7,6.8677,1.9979,3.4376,1,1,5.454,10,1,1,0.0,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,3,90.9,72.3,72.1,55.0,23.3616,3.8818,6.0182,1,0,0.8166,9,0,0,-0.35,0,0
LaLiga_2020_21,3764440,Martin Braithwaite Christensen,4447,Barcelona,Left Wing,1,3,80.0,13.7,85.8,7.2,7.9658,2.2597,3.5252,0,0,5.3895,9,0,0,0.07778,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,4,68.8,48.4,76.2,45.6,7.2347,0.7891,9.1681,0,0,3.0449,9,1,1,0.0,0.2984,0.2984
LaLiga_2020_21,3764440,Emiliano Ariel Rigoni,15880,Elche,Left Wing,1,4,91.2,19.8,108.9,22.6,16.3861,3.0937,5.2966,0,1,9.0373,6,0,0,0.03333,0.2984,0.2984
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,4,29.1,59.0,31.9,60.3,2.8228,1.7722,1.5928,0,0,7.787,3,0,0,0.05357,0,0
LaLiga_2020_21,3764440,Pere Milla Peña,12072,Elche,Right Wing,1,5,41.7,13.9,39.6,16.5,3.0561,0.722,4.2328,1,0,2.5445,8,0,0,0.0,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,5,58.5,44.0,66.7,34.9,11.2009,2.3725,4.7211,0,0,6.2977,10,0,0,0.19835,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,5,64.8,34.9,64.3,31.6,3.052,0.42,7.2673,0,0,4.179,10,0,0,-0.08929,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,5,66.9,6.3,65.5,10.4,3.9616,1.6165,2.4508,0,0,4.3831,9,0,0,-0.09524,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,5,63.9,16.1,83.3,8.8,18.9537,4.0246,4.7095,0,1,13.4812,9,0,0,0.25,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,6,58.1,13.0,51.5,17.9,7.5165,4.1112,1.8283,0,0,0.763,10,0,0,-0.21111,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,6,106.3,7.2,93.0,8.8,12.2492,3.029,4.0439,1,0,3.4768,9,0,0,-0.32967,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,6,91.2,67.4,76.0,73.2,14.8764,4.3984,3.3822,1,0,8.2579,10,0,0,-0.19048,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,6,73.9,74.4,78.8,64.1,10.4298,3.0482,3.4216,1,1,7.2093,10,0,0,-0.0202,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,7,70.9,24.2,74.6,23.3,3.4819,0.7186,4.8456,0,0,5.0612,10,0,0,0.10714,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,7,99.6,7.9,91.2,23.3,16.0404,3.9129,4.0993,1,0,3.0875,7,0,0,-0.11039,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,7,85.4,36.3,85.1,30.3,5.4933,1.2211,4.4987,0,0,4.4918,9,0,0,-0.12698,0,0
LaLiga_2020_21,3764440,Pere Milla Peña,12072,Elche,Right Wing,1,7,62.5,64.0,74.6,73.9,14.2957,4.1783,3.4214,0,0,1.903,5,1,1,0.0,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,8,54.6,58.2,63.9,74.1,16.8433,5.6268,2.9934,0,0,3.1655,8,0,0,0.01299,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,8,52.5,34.5,70.9,9.1,28.6795,5.2081,5.5067,1,0,8.9155,10,0,0,-0.01645,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,9,59.7,47.8,64.6,52.7,6.3365,1.1924,5.3138,0,0,6.6978,9,0,0,0.12346,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,9,81.2,51.5,79.1,39.4,11.2296,2.1813,5.1481,0,0,0.706,10,0,0,-0.03846,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,9,86.7,27.9,98.0,24.5,10.7903,1.8389,5.8678,1,1,4.0719,10,1,1,0.10417,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,10,72.7,23.0,72.1,18.4,4.2419,2.0263,2.0934,1,0,4.4828,10,0,0,0.0,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,10,86.7,73.6,89.6,69.4,4.667,2.5401,1.8374,0,0,6.4545,10,0,0,0.125,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,10,96.6,54.8,94.2,58.2,3.8055,1.385,2.7477,1,0,1.2395,10,0,0,0.0,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,10,112.4,61.5,114.7,66.6,5.1157,1.9894,2.5716,1,0,2.882,10,0,0,0.0,0,0
LaLiga_2020_21,3764440,Lucas Ariel Boyé,7064,Elche,Center Forward,1,11,65.0,6.5,56.5,8.3,7.9448,3.1965,2.4854,1,0,1.9914,8,0,0,-0.01299,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,11,43.8,31.9,42.2,38.6,6.2987,0.96,6.5612,0,0,10.1266,10,0,0,-0.1,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,11,40.3,19.6,42.7,17.0,3.2355,1.4984,2.1593,1,0,6.0561,8,0,0,-0.04688,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,12,52.7,35.4,52.5,38.4,2.7493,0.8128,3.3824,1,0,2.5831,10,0,0,-0.03571,0,0
LaLiga_2020_21,3764440,Emiliano Ariel Rigoni,15880,Elche,Left Wing,1,12,64.6,28.4,81.6,20.7,17.065,2.7417,6.2243,0,1,5.2569,10,0,0,0.17333,0,0
LaLiga_2020_21,3764440,Martin Braithwaite Christensen,4447,Barcelona,Left Wing,1,12,20.7,10.5,31.0,22.4,14.3913,5.5316,2.6016,0,1,,,,,,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,12,36.8,41.5,36.9,33.3,7.4986,2.1184,3.5397,0,0,2.5368,5,1,1,0.0,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,13,43.6,65.2,55.1,53.3,15.1321,4.9374,3.0648,0,1,11.2077,10,1,1,0.14583,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,13,64.3,61.5,71.4,65.2,7.3209,2.4851,2.9459,0,0,4.9509,10,0,0,0.0,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,13,63.9,63.6,70.0,53.6,10.711,5.1085,2.0967,0,0,8.2999,10,0,0,-0.03636,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,13,66.0,37.3,66.0,34.2,2.8346,1.6993,1.6681,0,0,8.6193,10,0,0,0.08333,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,13,79.7,72.3,77.6,62.9,8.8072,1.8975,4.6415,0,0,7.3316,10,0,0,0.05682,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,14,77.2,42.8,77.2,39.6,2.9261,2.5034,1.1688,0,0,6.1331,10,0,0,0.0,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,14,74.6,75.1,70.6,73.9,3.8186,1.6928,2.2559,0,0,3.6715,10,0,0,-0.03571,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,14,69.3,29.4,79.3,17.0,14.5663,2.7087,5.3776,1,0,6.7064,10,1,1,0.06993,0,0
LaLiga_2020_21,3764440,Martin Braithwaite Christensen,4447,Barcelona,Left Wing,1,14,90.9,19.6,95.4,4.6,14.3199,4.5889,3.1206,1,0,2.5662,10,0,0,-0.05128,0,0
LaLiga_2020_21,3764440,Martin Braithwaite Christensen,4447,Barcelona,Left Wing,1,15,89.1,33.7,87.2,37.0,3.4819,1.8303,1.9024,1,0,2.4264,10,0,0,-0.01786,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,15,49.4,54.5,45.2,64.5,9.9178,1.3523,7.3342,1,0,2.9241,6,0,0,-0.09091,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,15,57.2,76.5,54.3,67.4,8.7334,1.9913,4.3858,1,0,6.4801,7,0,0,-0.1125,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,16,66.4,56.9,81.4,38.4,21.7783,2.9384,7.4116,0,1,5.1959,10,1,1,0.00893,0,0
LaLiga_2020_21,3764440,Martin Braithwaite Christensen,4447,Barcelona,Left Wing,1,16,91.7,13.0,86.7,16.3,5.478,1.7301,3.1663,1,0,4.7029,10,0,0,-0.125,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,16,92.6,42.9,89.1,44.0,3.3547,0.4625,7.2532,1,0,0.5838,10,0,0,-0.01786,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,17,55.8,38.2,65.1,40.0,8.6617,1.3575,6.3808,0,0,8.2016,9,1,1,0.19481,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,17,90.3,35.4,87.2,35.4,2.8346,2.569,1.1034,1,0,3.7013,10,0,0,0.02083,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,17,90.3,44.2,104.7,37.5,14.5228,2.0919,6.9425,1,1,0.6536,9,1,1,0.00714,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,17,15.4,37.3,22.1,35.6,6.3206,0.8913,7.0914,1,0,1.3859,7,0,0,-0.22857,0,0
LaLiga_2020_21,3764440,Pere Milla Peña,12072,Elche,Right Wing,1,17,40.1,30.2,48.7,12.7,17.8299,4.2462,4.199,1,0,6.5122,8,0,0,0.0,0,0
LaLiga_2020_21,3764440,Emiliano Ariel Rigoni,15880,Elche,Left Wing,1,17,78.8,8.3,117.8,22.6,37.9833,5.8567,6.4855,0,1,2.4583,8,0,0,0.0,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,18,48.0,51.5,90.0,40.3,39.7469,6.9099,5.7522,1,1,10.9245,8,0,0,0.08025,0,0
LaLiga_2020_21,3764440,Omenuke Mfulu,18783,Elche,Left Center Midfield,1,18,25.0,39.8,38.0,38.4,11.9559,3.1584,3.7854,0,1,2.9686,5,1,1,-0.23077,0,0
LaLiga_2020_21,3764440,Lucas Ariel Boyé,7064,Elche,Center Forward,1,18,51.3,38.4,51.6,41.7,3.03,1.0086,3.0042,1,0,2.846,8,0,0,0.0,0,0
LaLiga_2020_21,3764440,Emiliano Ariel Rigoni,15880,Elche,Left Wing,1,19,71.6,75.9,99.1,58.9,29.5629,5.022,5.8866,0,1,16.5219,7,0,0,0.05357,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,19,27.0,42.1,50.6,46.1,21.8876,5.0083,4.3703,1,1,5.0624,5,0,0,-0.27083,0.5047,0.5047
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,19,50.9,48.2,63.9,42.9,12.8371,1.7245,7.4439,1,1,0.3681,8,1,1,-0.01709,0.5047,0.5047
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,19,67.9,34.5,88.8,39.4,19.6292,4.2992,4.5657,1,1,6.312,7,1,1,0.04575,0.5047,0.5047
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,19,105.0,56.9,107.8,53.6,3.9574,1.0545,3.7527,1,0,3.6296,7,0,0,0.0,0.5047,0.5047
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,19,107.8,53.6,110.9,45.2,8.1873,1.5721,5.2077,1,1,0.7211,7,1,1,-0.04545,0.5047,0.5047
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,19,24.3,23.2,28.0,28.1,5.6144,2.2728,2.4703,1,0,5.6618,7,0,0,-0.06944,0,0
LaLiga_2020_21,3764440,Emiliano Ariel Rigoni,15880,Elche,Left Wing,1,19,60.1,76.4,53.7,75.9,5.87,1.2419,4.7267,1,0,2.5578,10,0,0,0.0,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,20,69.7,10.4,65.1,11.6,4.347,2.2051,1.9714,1,0,3.1643,10,0,0,0.0,0,0
LaLiga_2020_21,3764440,Omenuke Mfulu,18783,Elche,Left Center Midfield,1,21,18.4,19.0,27.1,16.2,8.3571,2.1498,3.8875,0,0,6.0864,4,0,0,0.07955,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,21,85.8,66.9,80.5,68.5,5.0623,2.7552,1.8374,1,0,5.9598,8,0,0,-0.04762,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,21,80.5,68.5,77.6,62.7,5.9295,2.3768,2.4947,1,0,1.2006,10,0,0,-0.09722,0,0
LaLiga_2020_21,3764440,Lucas Ariel Boyé,7064,Elche,Center Forward,1,21,51.6,19.5,61.6,20.2,9.1664,2.6068,3.5163,1,0,1.6348,9,1,1,0.0,0,0
LaLiga_2020_21,3764440,Pere Milla Peña,12072,Elche,Right Wing,1,21,62.0,5.3,66.5,2.3,4.9454,3.2293,1.5314,0,0,10.2005,7,0,0,0.0,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,21,48.8,57.3,53.7,40.7,15.8265,3.6365,4.3521,0,0,6.5176,10,0,0,-0.08889,0,0
LaLiga_2020_21,3764440,Pere Milla Peña,12072,Elche,Right Wing,1,21,70.0,4.4,74.9,5.0,4.514,0.8956,5.0403,1,0,7.2422,10,0,0,0.0,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,21,43.1,42.9,47.6,47.5,5.8842,1.478,3.9813,0,0,10.1774,10,0,0,0.09877,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,22,71.4,29.6,63.9,33.3,7.6471,2.4223,3.157,0,0,3.1816,10,0,0,-0.225,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,22,67.6,46.1,74.8,38.4,9.6394,3.0298,3.1815,1,0,5.6673,10,1,1,0.09,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,22,89.3,31.2,95.9,24.0,8.9312,1.4266,6.2604,0,0,5.891,10,0,0,0.03,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,22,98.7,33.7,105.9,36.3,6.9998,0.968,7.231,1,1,3.0838,8,1,1,0.025,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,23,102.1,3.0,102.1,6.7,3.3833,2.9416,1.1502,0,0,6.0387,10,0,0,-0.02381,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,23,95.9,20.3,97.5,25.8,5.2377,1.1424,4.5848,1,0,2.2952,10,1,1,-0.03175,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,26,47.6,55.7,39.4,51.7,8.3426,0.8993,9.2765,0,0,3.8319,10,0,0,-0.22727,0,0
LaLiga_2020_21,3764440,Lucas Ariel Boyé,7064,Elche,Center Forward,1,26,39.2,13.5,55.3,8.1,15.5278,5.2695,2.9468,1,1,3.2039,8,0,0,0.0,0,0
LaLiga_2020_21,3764440,Lucas Ariel Boyé,7064,Elche,Center Forward,1,27,71.1,51.9,65.3,53.8,5.5808,1.1212,4.9775,1,0,0.7337,9,0,0,-0.03175,0,0
LaLiga_2020_21,3764440,Lucas Ariel Boyé,7064,Elche,Center Forward,1,27,56.2,55.6,57.1,60.5,4.5555,0.7977,5.7111,0,0,2.1571,9,0,0,-0.04762,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,27,64.6,24.0,63.9,35.8,10.8089,2.1296,5.0756,1,0,4.6929,10,0,0,-0.05952,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,28,57.6,50.3,55.8,41.5,8.2133,2.6706,3.0755,0,0,2.878,10,0,0,-0.12987,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,28,63.0,22.4,67.9,19.6,5.1605,1.048,4.9243,0,0,7.2809,10,0,0,0.125,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,28,78.4,18.4,78.1,25.1,6.1326,2.1393,2.8667,1,0,1.3245,10,0,0,-0.05714,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,28,72.7,6.3,81.2,7.9,7.9089,2.026,3.9036,0,1,,,,,,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,28,92.1,14.6,102.4,11.8,9.7601,2.6145,3.733,1,0,4.5576,10,1,1,0.0,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,28,88.4,4.9,90.9,10.9,5.9436,4.1238,1.4413,0,1,14.5341,10,0,0,-0.04167,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,28,90.9,29.6,97.5,59.0,27.5524,6.1579,4.4743,1,0,5.9233,10,0,0,-0.07619,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,30,76.0,67.3,70.6,66.2,5.0392,1.4099,3.5741,1,0,2.5531,10,0,0,-0.06349,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,30,63.0,3.7,68.8,5.5,5.5531,2.8908,1.9209,0,0,5.0947,10,0,0,0.07407,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,30,71.4,24.0,69.7,28.7,4.5702,1.87,2.4439,0,0,0.4612,10,0,0,-0.07937,0,0
LaLiga_2020_21,3764440,Omenuke Mfulu,18783,Elche,Left Center Midfield,1,31,62.0,20.2,60.9,26.0,5.3981,1.163,4.6413,0,0,6.473,10,0,0,0.03175,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,31,57.1,40.5,55.0,46.4,5.7265,3.6316,1.5768,0,0,5.5213,10,0,0,0.04167,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,32,91.2,16.9,92.9,23.2,5.9668,1.1853,5.0341,0,0,2.6716,9,0,0,0.21429,0.0078,0.0078
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,33,27.3,67.4,35.2,69.5,7.4746,2.5278,2.957,0,0,10.7973,2,0,0,-0.025,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,33,66.7,58.2,74.2,63.2,8.2423,1.9264,4.2785,0,0,10.4956,10,0,0,0.06667,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,33,76.9,59.4,89.1,60.8,11.2289,3.1275,3.5903,1,1,6.0661,8,0,0,0.03297,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,34,55.5,31.2,58.8,21.2,9.629,4.0903,2.3541,0,0,3.8107,10,1,1,-0.125,0,0
LaLiga_2020_21,3764440,Lionel Andrés Messi Cuccittini,5503,Barcelona,Center Forward,1,35,65.8,23.7,70.2,17.0,7.3295,3.4706,2.1119,1,0,6.2033,9,0,0,0.1,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,38,76.7,68.5,93.3,61.5,16.4734,5.1761,3.1826,0,1,14.9107,10,0,0,0.1,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,39,96.3,11.8,91.4,13.0,4.613,0.6284,7.3411,1,0,2.5908,10,0,0,-0.09524,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,39,92.1,74.1,86.3,70.8,6.1019,3.4537,1.7667,1,0,6.1395,10,0,0,0.0,0,0
LaLiga_2020_21,3764440,Emiliano Ariel Rigoni,15880,Elche,Left Wing,1,39,36.8,9.9,48.3,12.7,10.8228,1.5893,6.81,0,1,1.2241,9,1,1,-0.22917,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,39,71.3,74.1,56.9,73.2,13.1931,1.5816,8.3413,0,0,2.0198,8,0,0,-0.2551,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,39,50.2,60.6,51.5,54.8,5.4351,1.9984,2.7197,0,0,14.7792,8,0,0,-0.04762,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,39,58.1,30.9,64.6,24.2,8.5358,1.6155,5.2836,0,0,11.3225,10,0,0,0.17,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,39,34.7,71.7,27.7,76.4,7.7098,3.6945,2.0868,1,0,1.6086,8,0,0,-0.1,0,0
LaLiga_2020_21,3764440,Pere Milla Peña,12072,Elche,Right Wing,1,40,72.1,57.3,81.1,58.4,8.2908,2.469,3.358,1,1,1.4589,7,1,1,0.0,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,41,58.0,34.7,53.4,35.6,4.286,2.5842,1.6586,0,0,7.9437,10,0,0,-0.09524,0,0
LaLiga_2020_21,3764440,Lucas Ariel Boyé,7064,Elche,Center Forward,1,41,75.3,19.8,72.1,6.0,12.9535,3.335,3.8841,1,0,3.4674,8,0,0,-0.24038,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,42,60.9,18.6,62.9,29.5,10.1334,2.7306,3.7111,0,0,9.8706,9,0,0,0.0,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,42,40.6,47.0,44.3,47.3,3.3944,0.8117,4.1819,1,0,1.1761,8,1,1,0.0,0,0
LaLiga_2020_21,3764440,Francisco António Machado Mota de Castro Trincão,22390,Barcelona,Right Wing,1,42,49.4,56.6,54.8,70.2,13.3803,4.2697,3.1338,1,0,2.0928,10,0,0,-0.13675,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,42,63.9,58.3,65.1,61.1,2.7855,1.4026,1.986,1,0,7.0018,9,0,0,0.0,0,0
LaLiga_2020_21,3764440,Miralem Pjanić,6947,Barcelona,Center Defensive Midfield,1,42,65.1,61.1,67.2,64.5,3.6542,1.1497,3.1784,1,0,0.6717,9,1,1,-0.03125,0,0
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,42,73.9,9.7,71.4,14.6,5.03,1.8965,2.6522,0,0,7.4621,10,0,0,-0.11111,0,0
LaLiga_2020_21,3764440,Pere Milla Peña,12072,Elche,Right Wing,1,42,47.4,45.9,98.5,36.0,47.5947,8.0656,5.9009,0,1,1.1221,8,0,0,-0.22443,0.0742,0.0742
LaLiga_2020_21,3764440,Pedro González López,30486,Barcelona,Left Center Midfield,1,43,14.0,27.0,24.0,27.0,9.144,1.6596,5.5099,0,0,7.7695,3,0,0,0.0303,0,0
LaLiga_2020_21,3764440,Frenkie de Jong,8118,Barcelona,Right Center Midfield,1,43,57.2,5.8,86.0,12.8,27.1014,5.2963,5.1171,1,1,12.0824,8,0,0,0.12381,0,0
LaLiga_2020_21,3764440,José Raúl Gutiérrez Parejo,24517,Elche,Right Center Midfield,1,43,35.0,41.4,36.2,38.4,2.9545,0.7591,3.8921,1,0,4.9814,6,0,0,-0.03571,0,0
LaLiga_2020_21,3764440,Omenuke Mfulu,18783,Elche,Left Center Midfield,1,43,49.5,35.1,49.9,42.6,6.8677,1.336,5.1407,0,0,4.2633,10,0,0,-0.15714,0,0
LaLiga_2020_21,3764440,Pere Milla Peña,12072,Elche,Right Wing,1,43,63.2,62.2,58.0,62.2,4.7549,1.0108,4.7041,0,0,7.8667,10,0,0,-0.14815,0,0
